"Navigate","Previous","⇧⌘.","In Windows","org.eclipse.ui.navigate.previous"
"Run/Debug","Force Return","⌥⌘F","In Windows","org.eclipse.jdt.debug.ui.commands.ForceReturn"
"Edit","Incremental Find Reverse","⇧⌘J","Editing Text","org.eclipse.ui.edit.findIncrementalReverse"
"Source","Quick Assist - Rename in file","⌘2 R","Editing Java Source","org.eclipse.jdt.ui.correction.renameInFile.assist"
"Navigate","Go to Line","⌘G","In Windows","org.eclipse.ui.edit.text.goto.line"
"Views","Show View (Package Explorer)","⌥⌘Q P","In Windows","org.eclipse.ui.views.showView"
"File","Properties","⌘I","In Windows","org.eclipse.ui.file.properties"
"Views","Show View (Javadoc)","⌥⌘Q J","In Windows","org.eclipse.ui.views.showView"
"Navigate","Open Remote Task","⌥⇧⌘F12","In Windows","org.eclipse.mylyn.tasks.ui.command.openRemoteTask"
"Window","Show Contributing Plug-in","⌥⇧F3","In Dialogs and Windows","org.eclipse.ui.window.spy"
"C/C++ Source","Open Element","⇧⌘T","In C/C++ Views","org.eclipse.cdt.ui.navigate.opentype"
"Navigate","Next Tab","⌃⇟","In Dialogs and Windows","org.eclipse.ui.navigate.nextTab"
"Run/Debug","Next Page of Memory","⇧⌘.","In Table Memory Rendering","org.eclipse.debug.ui.command.nextpage"
"Text Editing","To Lower Case","⇧⌘Y","Editing Text","org.eclipse.ui.edit.text.lowerCase"
"Text Editing","Show Tooltip Description","F2","Editing Text","org.eclipse.ui.edit.text.showInformation"
"Navigate","Previous Tab","⌃⇞","In Dialogs and Windows","org.eclipse.ui.navigate.previousTab"
"Edit","Shift Left","⇧Tab","C/C++ Editor","org.eclipse.ui.edit.text.shiftLeft"
"Text Editing","Toggle Overwrite","Insert","Editing Text","org.eclipse.ui.edit.text.toggleOverwrite"
"C/C++ Source","Surround With Quick Menu","⌥⇧Z","C/C++ Editor","org.eclipse.cdt.ui.edit.text.c.surround.with.quickMenu"
"Refactor - Java","Inline","⌥⌘I","In Windows","org.eclipse.jdt.ui.edit.text.java.inline"
"Edit","Find Previous","⇧⌘K","Editing Text","org.eclipse.ui.edit.findPrevious"
"C/C++ Source","Go to Matching Bracket","⇧⌘P","C/C++ Editor","org.eclipse.cdt.ui.edit.text.c.goto.matching.bracket"
"Refactor - C++","Extract Function - Refactoring ","⌥⌘M","C/C++ Editor","org.eclipse.cdt.ui.refactor.extract.function"
"Run/Debug","Coverage JUnit Plug-in Test","⌥⇧E P","In Windows","org.eclipse.eclemma.ui.junitPluginShortcut.coverage"
"C/C++ Source","Toggle Source/Header","⌘Tab","C/C++ Editor","org.eclipse.cdt.ui.edit.text.c.toggle.source.header"
"Edit","Open Selection","F3","Editing in Structured Text Editors","org.eclipse.wst.sse.ui.open.file.from.source"
"Run/Debug","Run Maven Build","⌥⇧X M","In Windows","org.eclipse.m2e.core.pomFileAction.run"
"Run/Debug","Step Return","⇧F11","Debugging","org.eclipse.debug.ui.commands.StepReturn"
"Navigate","Show In...","⌥⌘W","In Windows","org.eclipse.ui.navigate.showInQuickMenu"
"Terminal view commands","Terminal view insert","⌥R","Terminal Typing Connected","org.eclipse.tm.terminal.command1"
"Edit","Content Assist","⌃Space","In Dialogs and Windows","org.eclipse.ui.edit.text.contentAssist.proposals"
"Text Editing","Insert Line Above Current Line","⇧⌘↩","Editing Text","org.eclipse.ui.edit.text.smartEnterInverse"
"Edit","Find Previous","⇧F3","Editing Text","org.eclipse.ui.edit.findPrevious"
"Edit","Quick Fix","⌘1","In Dialogs and Windows","org.eclipse.jdt.ui.edit.text.java.correction.assist.proposals"
"Terminal view commands","Terminal view insert","⌥C","Terminal Typing Connected","org.eclipse.tm.terminal.command1"
"Task Repositories","Mark Task Read","⌥⇧R","In Tasks View","org.eclipse.mylyn.tasks.ui.command.markTaskRead"
"Focused UI","Make Landmark","⌥⇧⌘↑","In Windows","org.eclipse.mylyn.context.ui.commands.interest.increment"
"Run/Debug","Previous Page of Memory","⇧⌘,","In Table Memory Rendering","org.eclipse.debug.ui.command.prevpage"
"Navigate","Previous Page","⌥⇧F7","In Windows","org.eclipse.ui.part.previousPage"
"Source","Toggle Comment","⌘7","Editing Java Source","org.eclipse.jdt.ui.edit.text.java.toggle.comment"
"Source","Add Import","⇧⌘M","Editing Java Source","org.eclipse.jdt.ui.edit.text.java.add.import"
"C/C++ Source","Forward","⌥→","In Macro Expansion Hover","org.eclipse.cdt.ui.hover.forwardMacroExpansion"
"Git","Commit...","⌥⌘3","In Windows","org.eclipse.egit.ui.team.Commit"
"Navigate","Open Declaration","F3","In Windows","org.eclipse.jdt.ui.edit.text.java.open.editor"
"View","Zoom Out","⌘-","In Windows","org.eclipse.gef.zoom_out"
"Run/Debug","Coverage TestNG Test","⌥⇧E N","In Windows","org.eclipse.eclemma.ui.testNgShortcut.coverage"
"Run/Debug","Run Ant Build","⌥⌘X Q","In Windows","org.eclipse.ant.ui.antShortcut.run"
"Edit","Select Next Element","⌃⇧→","Editing in Structured Text Editors","org.eclipse.wst.sse.ui.structure.select.next"
"Text Editing","Previous Word","⌥←","Editing Text","org.eclipse.ui.edit.text.goto.wordPrevious"
"C/C++ Source","Toggle Comment","⌘7","C/C++ Editor","org.eclipse.cdt.ui.edit.text.c.toggle.comment"
"Navigate","Open Maven POM","⌥⇧P","In Windows","org.eclipse.m2e.core.ui.command.openPom"
"Search","Show Occurrences in File Quick Menu","⇧⌘U","In Windows","org.eclipse.jdt.ui.edit.text.java.search.occurrences.in.file.quickMenu"
"Navigate","Open Type Hierarchy","F4","C/C++ Editor","org.eclipse.cdt.ui.edit.open.type.hierarchy"
"C/C++ Source","Toggle Source/Header","⌃Tab","C/C++ Editor","org.eclipse.cdt.ui.edit.text.c.toggle.source.header"
"C/C++ Source","Format","⇧⌘F","C/C++ Editor","org.eclipse.cdt.ui.edit.text.c.format"
"C/C++ Source","Surround With Quick Menu","⌥⌘Z","C/C++ Editor","org.eclipse.cdt.ui.edit.text.c.surround.with.quickMenu"
"Navigate","Next Sub-Tab","⌥⇟","In Dialogs and Windows","org.eclipse.ui.navigate.nextSubTab"
"Navigate","Open Resource","⇧⌘R","In Windows","org.eclipse.ui.navigate.openResource"
"Refactor - Java","Rename - Refactoring ","⌥⌘R","In Windows","org.eclipse.jdt.ui.edit.text.java.rename.element"
"Source","Rename In File","⌥⌘R","Editing Ant Buildfiles","org.eclipse.ant.ui.renameInFile"
"Terminal view commands","Terminal view insert","⌥P","Terminal Typing Connected","org.eclipse.tm.terminal.command1"
"Run/Debug","Toggle Breakpoint","F9","In Windows","org.eclipse.debug.ui.commands.ToggleBreakpoint"
"Reverse Debugging Commands","Reverse Resume","⇧F8","Debugging C/C++","org.eclipse.cdt.debug.ui.command.reverseResume"
"Navigate","Quick Outline","⇧⌘O","Task Markup Editor Source Context","org.eclipse.mylyn.wikitext.ui.quickOutlineCommand"
"Edit","Remove Block Comment","⌘\","Editing in Structured Text Editors","org.eclipse.wst.sse.ui.remove.block.comment"
"Run/Debug","New Rendering","⌘N","In Memory View","org.eclipse.debug.ui.commands.newRendering"
"Text Editing","Move Lines Up","⌥↑","Editing Text","org.eclipse.ui.edit.text.moveLineUp"
"Window","Quick Switch Editor","⌘E","In Windows","org.eclipse.ui.window.openEditorDropDown"
"Run/Debug","Toggle Memory Monitors Pane","⌘T","In Memory View","org.eclipse.debug.ui.commands.toggleMemoryMonitorsPane"
"Navigate","Open Type in Hierarchy","⇧⌘H","In Windows","org.eclipse.jdt.ui.navigate.open.type.in.hierarchy"
"Project","Rebuild Last Target","F9","In Windows","org.eclipse.cdt.make.ui.targetBuildLastCommand"
"Git","Copy Path to Clipboard","⌘C","In Git Repositories View","org.eclipse.egit.ui.RepositoriesViewCopyPath"
"Terminal view commands","Terminal view insert","⌥A","Terminal Typing Connected","org.eclipse.tm.terminal.command1"
"Window","Switch to Editor","⇧⌘E","In Windows","org.eclipse.ui.window.switchToEditor"
"File","Properties","⌥↩","In Windows","org.eclipse.ui.file.properties"
"Navigate","Backward History","⌘[","In Windows","org.eclipse.ui.navigate.backwardHistory"
"Task Repositories","Mark Task Complete","⌥⇧C","In Tasks View","org.eclipse.mylyn.tasks.ui.command.markTaskComplete"
"Window","Show Context Menu","⇧F10","In Dialogs and Windows","org.eclipse.ui.window.showContextMenu"
"Source","Annotate Class File","⌘1","Browsing attached Java Source","org.eclipse.jdt.ui.edit.text.java.annotate.classFile"
"Run/Debug","Run JUnit Test","⌥⌘X T","In Windows","org.eclipse.jdt.junit.junitShortcut.run"
"Views","Show View (Declaration)","⌥⌘Q D","In Windows","org.eclipse.ui.views.showView"
"Source","Remove Block Comment","⌃⌘\","Editing Java Source","org.eclipse.jdt.ui.edit.text.java.remove.block.comment"
"Run/Debug","Run Java Applet","⌥⌘X A","In Windows","org.eclipse.jdt.debug.ui.javaAppletShortcut.run"
"Navigate","Previous Sub-Tab","⌥⇞","In Dialogs and Windows","org.eclipse.ui.navigate.previousSubTab"
"Edit","Add Bookmark","⌘F2","In Windows","org.eclipse.ui.edit.addBookmark"
"Run/Debug","Use Step Filters","⇧F5","In Windows","org.eclipse.debug.ui.commands.ToggleStepFilters"
"Window","Previous Editor","⇧⌘F6","In Windows","org.eclipse.ui.window.previousEditor"
"Terminal view commands","Paste","⇧⌘V","Terminal Control in Focus","org.eclipse.tm.terminal.paste"
"Edit","Remove Block Comment","⇧⌘\","Editing in Structured Text Editors","org.eclipse.wst.sse.ui.remove.block.comment"
"Terminal view commands","Maximize Active View or Editor","⌥↑","Terminal Control in Focus","org.eclipse.tm.terminal.maximize"
"Terminal view commands","Terminal view insert","⌥Y","Terminal Typing Connected","org.eclipse.tm.terminal.command1"
"Run/Debug","Coverage Eclipse Application","⌥⇧E E","In Windows","org.eclipse.eclemma.ui.workbenchShortcut.coverage"
"Source","Toggle Comment","⇧⌘C","Editing Properties Files","org.eclipse.jdt.ui.edit.text.java.toggle.comment"
"C/C++ Source","Organize Includes","⇧⌘O","C/C++ Editor","org.eclipse.cdt.ui.edit.text.c.organize.includes"
"Views","Show View (Breakpoints)","⌥⌘B","In Windows","org.eclipse.ui.views.showView"
"Navigate","Quick Outline","⌘O","Editing Java Source","org.eclipse.jdt.ui.edit.text.java.show.outline"
"Run/Debug","Run to Line","⌘F10","In Windows","org.eclipse.debug.ui.commands.RunToLine"
"Refactor - C++","Rename - Refactoring ","⌥⌘R","C/C++ Editor","org.eclipse.cdt.ui.edit.text.rename.element"
"Edit","Redo","⇧⌘Z","In Dialogs and Windows","org.eclipse.ui.edit.redo"
"File","New","⇧⌘N","In Windows","org.eclipse.ui.newWizard"
"Refactor - Java","Change Method Signature","⌥⌘C","In Windows","org.eclipse.jdt.ui.edit.text.java.modify.method.parameters"
"Window","Next View","⌘F7","In Windows","org.eclipse.ui.window.nextView"
"Refactor - Java","Extract Method","⌥⌘M","In Windows","org.eclipse.jdt.ui.edit.text.java.extract.method"
"Run/Debug","Coverage JUnit Test","⌥⇧E T","In Windows","org.eclipse.eclemma.ui.junitShortcut.coverage"
"Text Editing","Next Word","⌥→","Editing Text","org.eclipse.ui.edit.text.goto.wordNext"
"Source","Correct Indentation","⌘I","Editing Java Source","org.eclipse.jdt.ui.edit.text.java.indent"
"C/C++ Source","Open Declaration","F3","In C/C++ Views","org.eclipse.cdt.ui.edit.opendecl"
"Source","Add Text Block","⇧⌘'","Editing Java Source","org.eclipse.jdt.ui.edit.text.java.add.textblock"
"Text Editing","Toggle Folding","⌘Numpad_Divide","Editing Text","org.eclipse.ui.edit.text.folding.toggle"
"Run/Debug","Step Into Selection","⌥F5","Debugging","org.eclipse.jdt.debug.ui.commands.StepIntoSelection"
"Text Editing","Delete Line","⌘D","Editing Text","org.eclipse.ui.edit.text.delete.line"
"Terminal view commands","Paste","⇧Insert","Terminal Control in Focus","org.eclipse.tm.terminal.paste"
"Window","Toggle Split Editor (Vertical)","⇧⌘[","In Windows","org.eclipse.ui.window.splitEditor"
"Source","Toggle Mark Occurrences","⌥⌘O","Editing Java Source","org.eclipse.jdt.ui.edit.text.java.toggleMarkOccurrences"
"Run/Debug","Step Into Selection","⌘F5","Debugging C/C++","org.eclipse.cdt.debug.ui.command.StepIntoSelection"
"Edit","Select Enclosing C/C++ Element","⌃⇧⇞","C/C++ Editor","org.eclipse.cdt.ui.edit.text.c.select.enclosing"
"Terminal view commands","Terminal view insert","⌥N","Terminal Typing Connected","org.eclipse.tm.terminal.command1"
"Text Editing","To Upper Case","⇧⌘X","Editing Text","org.eclipse.ui.edit.text.upperCase"
"Navigate","Next Page","⌥F7","In Windows","org.eclipse.ui.part.nextPage"
"Edit","Find Next","⌘K","Editing Text","org.eclipse.ui.edit.findNext"
"Source","Remove Block Comment","⇧⌘\","Editing Java Source","org.eclipse.jdt.ui.edit.text.java.remove.block.comment"
"Text Editing","Line End","⌘→","Editing Text","org.eclipse.ui.edit.text.goto.lineEnd"
"Navigate","Matching Character","⇧⌘P","Editing in Structured Text Editors","org.eclipse.wst.sse.ui.goto.matching.bracket"
"Uncategorized","Copy Commit Id","⌘C","In Git Reflog View","org.eclipse.egit.ui.internal.reflog.CopyCommand"
"Edit","Select Enclosing Element","⌃⇧⇞","Editing Java Source","org.eclipse.jdt.ui.edit.text.java.select.enclosing"
"Source","Format","⇧⌘F","Editing Ant Buildfiles","org.eclipse.jdt.ui.edit.text.java.format"
"Edit","Select Previous Element","⌃⇧←","Editing in Structured Text Editors","org.eclipse.wst.sse.ui.structure.select.previous"
"Uncategorized","Find References","⇧⌘G","in Generic Code Editor","org.eclipse.ui.genericeditor.findReferences"
"C/C++ Source","Open Element","⇧⌘T","C/C++ Editor","org.eclipse.cdt.ui.navigate.opentype"
"Source","Show Source Quick Menu","⌥⌘S","In Windows","org.eclipse.jdt.ui.edit.text.java.source.quickMenu"
"Run/Debug","Run","⇧⌘F11","In Windows","org.eclipse.debug.ui.commands.RunLast"
"Edit","Select Next Element","⌃⇧↘","Editing Java Source","org.eclipse.jdt.ui.edit.text.java.select.next"
"Terminal view commands","Terminal view insert","⌥D","Terminal Typing Connected","org.eclipse.tm.terminal.command1"
"Window","Quick Switch Editor","⌃Tab","In Windows","org.eclipse.ui.window.openEditorDropDown"
"Edit","Incremental Find","⌘J","Editing Text","org.eclipse.ui.edit.findIncremental"
"Edit","Select Previous C/C++ Element","⌃⇧↖","C/C++ Editor","org.eclipse.cdt.ui.edit.text.c.select.previous"
"Navigate","Open from Clipboard","⇧⌘V","In Windows","org.eclipse.jdt.debug.ui.command.OpenFromClipboard"
"Text Editing","Text Start","↖","Editing Text","org.eclipse.ui.edit.text.goto.textStart"
"Edit","Select Next C/C++ Element","⌃⇧↘","C/C++ Editor","org.eclipse.cdt.ui.edit.text.c.select.next"
"Terminal view commands","Terminal view insert","⌥F","Terminal Typing Connected","org.eclipse.tm.terminal.command1"
"Refactor - C++","Extract Local Variable - Refactoring ","⌥⌘L","C/C++ Editor","org.eclipse.cdt.ui.refactor.extract.local.variable"
"File","Save All","⇧⌘S","In Windows","org.eclipse.ui.file.saveAll"
"Window","Show Key Assist","⇧⌘L","In Dialogs and Windows","org.eclipse.ui.window.showKeyAssist"
"Refactor - Java","Move - Refactoring ","⌥⌘V","In Windows","org.eclipse.jdt.ui.edit.text.java.move.element"
"C/C++ Source","Next Bookmark","⇧F2","C/C++ Editor","org.eclipse.cdt.ui.edit.text.c.goto.next.bookmark"
"Text Editing","Select Previous Word","⌥⇧←","Editing Text","org.eclipse.ui.edit.text.select.wordPrevious"
"Edit","Context Information","⌃⇧Space","In Dialogs and Windows","org.eclipse.ui.edit.text.contentAssist.contextInformation"
"Navigate","Show In Breadcrumb","⌥⌘B","Editor Breadcrumb Navigation","org.eclipse.jdt.ui.edit.text.java.gotoBreadcrumb"
"Edit","Matching Tag","⌃⇧.","Editing in Structured Text Editors","org.eclipse.wst.xml.ui.gotoMatchingTag"
"C/C++ Source","Open Declaration","F3","In Macro Expansion Hover","org.eclipse.cdt.ui.edit.opendecl"
"Task Editor","Maximize Part","⇧⌘M","In Tasks Editor","org.eclipse.mylyn.tasks.ui.command.maximizePart"
"Edit","Format Active Elements","⌘I","Editing in Structured Text Editors","org.eclipse.wst.sse.ui.format.active.elements"
"View","Zoom In","⌘=","In Windows","org.eclipse.gef.zoom_in"
"Text Editing","Text Start","⌘↖","Editing Text","org.eclipse.ui.edit.text.goto.textStart"
"Window","Previous View","⇧⌘F7","In Windows","org.eclipse.ui.window.previousView"
"Navigate","Go To Next Unread Task","⌥↓","In Tasks View","org.eclipse.mylyn.tasks.ui.command.goToNextUnread"
"Run/Debug","Skip All Breakpoints","⌃⌥B","In Windows","org.eclipse.debug.ui.commands.SkipAllBreakpoints"
"Search","Open Search Dialog","⌃H","In Windows","org.eclipse.search.ui.openSearchDialog"
"Source","Quick Assist - Assign to local variable","⌘2 L","Editing Java Source","org.eclipse.jdt.ui.correction.assignToLocal.assist"
"Task Repositories","Mark Task Complete","⌥⇧C","In Tasks Editor","org.eclipse.mylyn.tasks.ui.command.markTaskComplete"
"Source","Toggle Comment","⌘/","Editing Java Source","org.eclipse.jdt.ui.edit.text.java.toggle.comment"
"Makefile Source","Open declaration","F3","Makefile Editor","org.eclipse.cdt.make.ui.edit.text.makefile.opendecl"
"Navigate","Open Include Browser","⌥⌘I","In C/C++ Views","org.eclipse.cdt.ui.edit.open.include.browser"
"Window","Next Editor","⌃2","In Windows","org.eclipse.ui.window.nextEditor"
"C/C++ Source","Declaration","⌘G","In C/C++ Views","org.eclipse.cdt.ui.search.finddecl"
"File","Print","⌘P","In Windows","org.eclipse.ui.file.print"
"Run/Debug","Resume","F8","Debugging","org.eclipse.debug.ui.commands.Resume"
"Terminal view commands","Terminal view insert","⌥H","Terminal Typing Connected","org.eclipse.tm.terminal.command1"
"Navigate","Open Call Hierarchy","⌃⌥H","In C/C++ Views","org.eclipse.cdt.ui.edit.open.call.hierarchy"
"Navigate","Open Type in Hierarchy","⇧⌘H","C/C++ Editor","org.eclipse.cdt.ui.navigate.open.type.in.hierarchy"
"Run/Debug","Run","⌘F5","In Windows","org.eclipse.debug.ui.commands.RunLast"
"Source","Surround With Quick Menu","⌥⌘Z","In Windows","org.eclipse.jdt.ui.edit.text.java.surround.with.quickMenu"
"Terminal view commands","Terminal view insert","⌥V","Terminal Typing Connected","org.eclipse.tm.terminal.command1"
"Text Editing","Select Text End","⇧↘","Editing Text","org.eclipse.ui.edit.text.select.textEnd"
"Source","Toggle Comment","⌘7","Editing Properties Files","org.eclipse.jdt.ui.edit.text.java.toggle.comment"
"Navigate","Deactivate Task","⇧⌘F9","In Windows","org.eclipse.mylyn.tasks.ui.command.deactivateAllTasks"
"C/C++ Source","Quick Type Hierarchy","⌘T","C/C++ Editor","org.eclipse.cdt.ui.edit.open.quick.type.hierarchy"
"Run/Debug","Add Memory Block","⌥⌘M","In Memory View","org.eclipse.debug.ui.commands.addMemoryMonitor"
"Text Editing","Reset Structure","⇧⌘Numpad_Multiply","Editing Text","org.eclipse.ui.edit.text.folding.restore"
"Git","Rename Branch...","F2","In Git Repositories View","org.eclipse.egit.ui.team.RenameBranch"
"Edit","Toggle Block Selection","⌥⌘A","Editing Text","org.eclipse.ui.edit.text.toggleBlockSelectionMode"
"Edit","Undo","⌘Z","In Dialogs and Windows","org.eclipse.ui.edit.undo"
"Edit","Toggle Word Wrap","⌥⌘Y","Editing Text","org.eclipse.ui.edit.text.toggleWordWrap"
"Text Editing","Open Hyperlink","F3","in Generic Code Editor","org.eclipse.ui.edit.text.open.hyperlink"
"Edit","Paste","⌘V","In Dialogs and Windows","org.eclipse.ui.edit.paste"
"Text Editing","Line Start","⌘←","Editing Text","org.eclipse.ui.edit.text.goto.lineStart"
"Source","Toggle Ant Mark Occurrences","⌥⌘O","Editing Ant Buildfiles","org.eclipse.ant.ui.toggleMarkOccurrences"
"Window","Next Editor","⌘F6","In Windows","org.eclipse.ui.window.nextEditor"
"Navigate","Open Type Hierarchy","F4","In C/C++ Views","org.eclipse.cdt.ui.edit.open.type.hierarchy"
"Run/Debug","Step Into","F11","Debugging","org.eclipse.debug.ui.commands.StepInto"
"Source","Add Javadoc Comment","⌥⌘J","In Windows","org.eclipse.jdt.ui.edit.text.java.add.javadoc.comment"
"Terminal view commands","Terminal view insert","⌥E","Terminal Typing Connected","org.eclipse.tm.terminal.command1"
"Navigate","Go to Line","⌘L","Editing Text","org.eclipse.ui.edit.text.goto.line"
"Run/Debug","Coverage TestNG Suite","⌥⇧E G","In Windows","org.eclipse.eclemma.ui.testNgSuiteShortcut.coverage"
